,isbn,Title,author,last,first,wikiPage
180,9780061802706,Gold,Isaac Asimov,Asimov,Isaac,<WikipediaPage 'Isaac Asimov'>
181,OCLC:1031245830,Asimov's Guide to the Bible,Isaac Asimov,Asimov,Isaac,<WikipediaPage 'Isaac Asimov'>
182,UOM:39015007040846,100 Great Fantasy Short Short Stories,Isaac Asimov,Asimov,Isaac,<WikipediaPage 'Isaac Asimov'>
183,9781101157435,Rock Star Superstar,Blake Nelson,Nelson,Blake,<WikipediaPage 'Tim Blake Nelson'>
184,1426200552,The Journals of Captain John Smith,Author TBD,TBD,Author,<WikipediaPage 'Strategic Air Command'>
185,0521288843,Evolution and the Theory of Games,John Smith,Smith,John,<WikipediaPage 'John Maynard Smith'>
186,9780192862099,The Origins of Life,John Smith,Smith,John,NaN
187,UVA:X004900891,Captain John Smith,Dorothy Hoobler,Hoobler,Dorothy,<WikipediaPage 'Theodore Paleologus'>
188,9780316592253,Midnight Sun,Stephenie Meyer,Meyer,Stephenie,<WikipediaPage 'Stephenie Meyer'>
189,HARVARD:HN6GWD,Sense and Sensibility,Jane Austen,Austen,Jane,<WikipediaPage 'Jane Austen'>
190,9780671211486,Uncle Shelby'S Abz Book,Shel Silverstein,Silverstein,Shel,<WikipediaPage 'Shel Silverstein'>
191,148141593X,Who Wants a Cheap Rhinoceros?,Shel Silverstein,Silverstein,Shel,<WikipediaPage 'Shel Silverstein'>
192,1407179403,Fantastic Beasts and Where to Find Them: Cinematic Guide: Newt Scamander Do Not Feed Out,Felicity Baker,Baker,Felicity,<WikipediaPage 'Hazel Hill'>
193,9780448458724,Who is J. K. Rowling?,Pam Pollack,Pollack,Pam,<WikipediaPage 'Dexter's Laboratory'>
194,9783866492363,Qualitative Analysis and Documentary Method in International Educational Research,Ralf Bohnsack,Bohnsack,Ralf,NaN
195,9780307814289,There Are No Children Here,Alex Kotlowitz,Kotlowitz,Alex,<WikipediaPage 'Alex Kotlowitz'>
196,9780309324885,Transforming the Workforce for Children Birth Through Age 8,National Council,Council,National,NaN
197,9780415973243,The Routledge Guide to Music Technology,Thom Holmes,Holmes,Thom,<WikipediaPage 'Ashton Holmes'>
198,0393264890,The Scarlet Letter and Other Writings,Nathaniel Hawthorne,Hawthorne,Nathaniel,<WikipediaPage 'Nathaniel Hawthorne'>
199,9780440337621,The Lilac Bus,Maeve Binchy,Binchy,Maeve,<WikipediaPage 'Maeve Binchy'>
200,9781101209295,Light a Penny Candle,Maeve Binchy,Binchy,Maeve,<WikipediaPage 'Maeve Binchy'>
201,CORNELL:31924012239699,Legislative Journal,Pennsylvania. Assembly,Assembly,Pennsylvania.,<WikipediaPage 'Pennsylvania General Assembly'>
202,9780440337614,Circle of Friends,Maeve Binchy,Binchy,Maeve,<WikipediaPage 'Maeve Binchy'>
203,9781400050291,The Official Price Guide to Kiss Collectibles,Ingo Floren,Floren,Ingo,<WikipediaPage 'List of Kiss members'>
204,9780310761907,Solo,Kwame Alexander,Alexander,Kwame,<WikipediaPage 'Kwame Alexander'>
205,9781492632580,Two's Company,Jill Mansell,Mansell,Jill,<WikipediaPage 'Jill Mansell'>
206,9780375505874,Open House,Elizabeth Berg,Berg,Elizabeth,<WikipediaPage 'Elizabeth Berg (author)'>
207,9780748133130,The Dream Kingdom,Cynthia Harrod-Eagles,Harrod-Eagles,Cynthia,<WikipediaPage 'Cynthia Harrod-Eagles'>
208,9781442443990,Falling for You,Lisa Schroeder,Schroeder,Lisa,NaN
209,1402218346,Millie's Fling,Jill Mansell,Mansell,Jill,<WikipediaPage 'Jill Mansell'>
210,1492670138,Sheer Mischief,Jill Mansell,Mansell,Jill,<WikipediaPage 'Jill Mansell'>
211,9781982121488,Head Over Heels,Hannah Orenstein,Orenstein,Hannah,<WikipediaPage 'L.E.J'>
212,1521106827,Billie Jean King,Dhirubhai Patel,Patel,Dhirubhai,<WikipediaPage 'Dhirubhai Naranbhai Patel'>
213,STANFORD:36105045165631,To Amend Title VII of the Housing and Urban Development Act of 1965,United Committee,Committee,United,<WikipediaPage 'United States congressional committee'>
214,9781848948174,Girl Meets Ape,Chrissie Manby,Manby,Chrissie,<WikipediaPage 'Girls' Night In'>
215,0373895399,Girls' Night in,Lauren Henderson,Henderson,Lauren,NaN
216,1853261408,Tales from Shakespeare,Charles Lamb,Lamb,Charles,<WikipediaPage 'Charles Lamb'>
217,9783656193838,Analysis and Interpretation of William Shakespeare’s “Sonnet 130”,Julia Esau,Esau,Julia,<WikipediaPage 'List of women in the Bible'>
218,0330512722,Love Poems,Carol Duffy,Duffy,Carol,<WikipediaPage 'Carol Ann Duffy'>
219,9781443828215,English Author Dictionaries (the XVIth – the XXIst cc.),Olga Karpova,Karpova,Olga,<WikipediaPage 'Olga Karpova'>
220,9781524705589,The Sonnets,William Shakespeare,Shakespeare,William,<WikipediaPage 'William Shakespeare'>
221,9781905570263,Shakespeare's Secret Booke,David Ovason,Ovason,David,<WikipediaPage 'Judicial astrology'>
222,019818431X,The Complete Sonnets and Poems,William Shakespeare,Shakespeare,William,<WikipediaPage 'William Shakespeare'>
223,UOM:39076001914402,The Arden Shakespeare Complete Works,William Shakespeare,Shakespeare,William,<WikipediaPage 'William Shakespeare'>
224,9781101663776,The Cat Who Knew Shakespeare,Lilian Braun,Braun,Lilian,<WikipediaPage 'Lilian Jackson Braun'>
225,9781101200032,The Shakespeare Stealer,Gary Blackwood,Blackwood,Gary,<WikipediaPage 'Gary Blackwood (author)'>
